EQUIPO,NOMBRE_JUGADOR,POS,LINK_JUGADOR,MINUTOS,GOLES,GOLES/90 HIST,MINUTOS 2025,GOLES 2025,GOLES/90 2025
Aldosivi,Williams Barlasina,ARQ,https://www.sofascore.com/es/jugador/williams-barlasina/1086950,2790,-,-,360,-,-
Aldosivi,Jorge Carranza,ARQ,https://www.sofascore.com/es/jugador/jorge-carranza/340431,9741,-,-,540,-,-
Aldosivi,Santiago Laquidain,DEF,https://www.sofascore.com/es/jugador/santiago-laquidain/1102827,3640,2,0.05,90,0,0.0
Aldosivi,Yonatan Cabral,DEF,https://www.sofascore.com/es/jugador/yonatan-cabral/385318,19209,9,0.04,258,0,0.0
Aldosivi,Cerato Giuliano,DEF,https://www.sofascore.com/es/jugador/cerato-giuliano/1183795,3803,0,0.0,402,0,0.0
Aldosivi,Gonzalo Mottes,DEF,https://www.sofascore.com/es/jugador/gonzalo-mottes/1018416,4107,4,0.09,810,1,0.11
Aldosivi,Nestor Breitenbruch,DEF,https://www.sofascore.com/es/jugador/nestor-breitenbruch/579356,12730,2,0.01,810,0,0.0
Aldosivi,Kummer Tomas,DEF,https://www.sofascore.com/es/jugador/kummer-tomas/1403409,0,0,0,0,0,-
Aldosivi,Rodrigo Gonzalez,DEF,https://www.sofascore.com/es/jugador/rodrigo-gonzalez/978882,6194,0,0.0,794,0,0.0
Aldosivi,Paredes Gabriel,DEF,https://www.sofascore.com/es/jugador/paredes-gabriel/1382891,90,0,0.0,0,0,-
Aldosivi,Ignacio Guerrico,VOL,https://www.sofascore.com/es/jugador/ignacio-guerrico/1100246,3552,0,0.0,900,0,0.0
Aldosivi,Serrago Tiago,VOL,https://www.sofascore.com/es/jugador/serrago-tiago/1655111,60,1,1.5,59,1,1.53
Aldosivi,Matias Garcia,VOL,https://www.sofascore.com/es/jugador/matias-garcia/340863,12073,17,0.13,58,0,0.0
Aldosivi,Lautaro Chavez,VOL,https://www.sofascore.com/es/jugador/lautaro-chavez/926232,1843,1,0.05,236,0,0.0
Aldosivi,Marcelo Esponda,VOL,https://www.sofascore.com/es/jugador/marcelo-esponda/1117077,3335,1,0.03,756,0,0.0
Aldosivi,Roberto Bochi,VOL,https://www.sofascore.com/es/jugador/roberto-bochi/897138,3823,1,0.02,432,0,0.0
Aldosivi,Falasco Lucio,VOL,https://www.sofascore.com/es/jugador/falasco-lucio/1184849,0,0,0,0,0,-
