ID,NOMBRE_JUGADOR,POS,EQUIPO,LINK_JUGADOR,MINUTOS,GOLES,GOLES/90 HIST,MINUTOS ULT 3,GOLES ULT 3,GOLES/90 ULT 3,MINUTOS 2025,GOLES 2025,GOLES/90 2025
982633,Leandro Brey,ARQ,Boca Juniors,https://www.transfermarkt.es/leandro-brey/profil/spieler/982633,2258,0,0.0,2258,0,0.0,271,0,0.0
54534,Agustín Marchesín,ARQ,Boca Juniors,https://www.transfermarkt.es/agustin-marchesin/profil/spieler/54534,54627,0,0.0,6997,0,0.0,900,0,0.0
30690,Sergio Romero,ARQ,Boca Juniors,https://www.transfermarkt.es/sergio-romero/profil/spieler/30690,32854,0,0.0,7945,0,0.0,-,0,0.0
7966,Javier García,ARQ,Boca Juniors,https://www.transfermarkt.es/javier-garcia/profil/spieler/7966,24458,0,0.0,2143,0,0.0,-,0,0.0
842910,Ayrton Costa,DEF,Boca Juniors,https://www.transfermarkt.es/ayrton-costa/profil/spieler/842910,8506,5,0.05,7095,4,0.05,1892,0,0.0
334055,Nicolás Figal,DEF,Boca Juniors,https://www.transfermarkt.es/nicolas-figal/profil/spieler/334055,23252,10,0.04,8264,5,0.05,-,0,0.0
1019744,Lautaro Di Lollo,DEF,Boca Juniors,https://www.transfermarkt.es/lautaro-di-lollo/profil/spieler/1019744,4836,8,0.15,4836,8,0.15,823,1,0.11
147128,Cristian Lema,DEF,Boca Juniors,https://www.transfermarkt.es/cristian-lema/profil/spieler/147128,32593,34,0.09,8973,6,0.06,-,0,0.0
93176,Marcos Rojo,DEF,Boca Juniors,https://www.transfermarkt.es/marcos-rojo/profil/spieler/93176,28544,24,0.08,6185,7,0.1,463,0,0.0
1197773,Mateo Mendía,DEF,Boca Juniors,https://www.transfermarkt.es/mateo-mendia/profil/spieler/1197773,2614,3,0.1,2614,3,0.1,271,0,0.0
831161,Lautaro Blanco,DEF,Boca Juniors,https://www.transfermarkt.es/lautaro-blanco/profil/spieler/831161,13852,0,0.0,9103,0,0.0,465,0,0.0
373916,Marcelo Saracchi,DEF,Boca Juniors,https://www.transfermarkt.es/marcelo-saracchi/profil/spieler/373916,16641,11,0.06,4921,4,0.07,573,1,0.16
156561,Frank Fabra,DEF,Boca Juniors,https://www.transfermarkt.es/frank-fabra/profil/spieler/156561,33451,19,0.05,7721,3,0.03,132,0,0.0
701491,Juan Barinaga,DEF,Boca Juniors,https://www.transfermarkt.es/juan-barinaga/profil/spieler/701491,9734,9,0.08,7081,7,0.09,296,0,0.0
503348,Lucas Blondel,DEF,Boca Juniors,https://www.transfermarkt.es/lucas-blondel/profil/spieler/503348,15928,17,0.1,7103,9,0.11,459,0,0.0
103890,Luis Advíncula,DEF,Boca Juniors,https://www.transfermarkt.es/luis-advincula/profil/spieler/103890,40895,25,0.06,10937,6,0.05,556,1,0.16
483446,Tomás Belmonte,VOL,Boca Juniors,https://www.transfermarkt.es/tomas-belmonte/profil/spieler/483446,16056,19,0.11,8013,6,0.07,353,0,0.0
836518,Ignacio Miramón,VOL,Boca Juniors,https://www.transfermarkt.es/ignacio-miramon/profil/spieler/836518,3553,0,0.0,3426,0,0.0,73,0,0.0
89297,Rodrigo Battaglia,DEF,Boca Juniors,https://www.transfermarkt.es/rodrigo-battaglia/profil/spieler/89297,31563,23,0.07,8967,5,0.05,590,0,0.0
399887,Esteban Rolón,VOL,Boca Juniors,https://www.transfermarkt.es/esteban-rolon/profil/spieler/399887,13268,4,0.03,4467,2,0.04,-,0,0.0
1236677,Milton Delgado,VOL,Boca Juniors,https://www.transfermarkt.es/milton-delgado/profil/spieler/1236677,2680,0,0.0,2680,0,0.0,450,0,0.0
1000671,Camilo Rey Domenech,VOL,Boca Juniors,https://www.transfermarkt.es/camilo-rey-domenech/profil/spieler/1000671,497,0,0.0,497,0,0.0,438,0,0.0
599552,Williams Alarcón,VOL,Boca Juniors,https://www.transfermarkt.es/williams-alarcon/profil/spieler/599552,10464,11,0.09,8270,9,0.1,541,0,0.0
99343,Ander Herrera,VOL,Boca Juniors,https://www.transfermarkt.es/ander-herrera/profil/spieler/99343,36467,43,0.11,2892,0,0.0,798,0,0.0
912009,Simón Rivero,VOL,Boca Juniors,https://www.transfermarkt.es/simon-rivero/profil/spieler/912009,2606,1,0.03,2606,1,0.03,-,0,0.0
571219,Carlos Palacios,DEL,Boca Juniors,https://www.transfermarkt.es/carlos-palacios/profil/spieler/571219,12681,38,0.27,7373,28,0.34,758,1,0.12
732507,Agustín Martegani,VOL,Boca Juniors,https://www.transfermarkt.es/agustin-martegani/profil/spieler/732507,4483,5,0.1,4185,4,0.09,91,0,0.0
829966,Kevin Zenón,VOL,Boca Juniors,https://www.transfermarkt.es/kevin-zenon/profil/spieler/829966,10597,14,0.12,8630,13,0.14,502,2,0.36
661132,Exequiel Zeballos,DEL,Boca Juniors,https://www.transfermarkt.es/exequiel-zeballos/profil/spieler/661132,4756,11,0.21,4010,10,0.22,544,2,0.33
668549,Brian Aguirre,DEL,Boca Juniors,https://www.transfermarkt.es/brian-aguirre/profil/spieler/668549,5756,8,0.13,5641,8,0.13,203,0,0.0
661154,Alan Velasco,VOL,Boca Juniors,https://www.transfermarkt.es/alan-velasco/profil/spieler/661154,10119,23,0.2,5695,15,0.24,452,0,0.0
238448,Lucas Janson,DEL,Boca Juniors,https://www.transfermarkt.es/lucas-janson/profil/spieler/238448,20652,67,0.29,7269,27,0.33,135,1,0.67
481367,Miguel Merentiel,DEL,Boca Juniors,https://www.transfermarkt.es/miguel-merentiel/profil/spieler/481367,16685,90,0.49,8966,51,0.51,525,5,0.86
730779,Milton Giménez,DEL,Boca Juniors,https://www.transfermarkt.es/milton-gimenez/profil/spieler/730779,12347,59,0.43,7892,36,0.41,617,5,0.73
48280,Edinson Cavani,DEL,Boca Juniors,https://www.transfermarkt.es/edinson-cavani/profil/spieler/48280,53638,398,0.67,6425,32,0.45,583,2,0.31
284342,Jeremias Ledesma,ARQ,River Plate,https://www.transfermarkt.es/conan-ledesma/profil/spieler/284342,20839,0,0.0,6559,0,0.0,90,0,0.0
119634,Franco Armani,ARQ,River Plate,https://www.transfermarkt.es/franco-armani/profil/spieler/119634,53116,0,0.0,14595,0,0.0,900,0,0.0
373373,Lucas Martínez Quarta,DEF,River Plate,https://www.transfermarkt.es/lucas-martinez-quarta/profil/spieler/373373,20448,21,0.09,7966,13,0.15,1572,4,0.23
271478,Paulo Díaz,DEF,River Plate,https://www.transfermarkt.es/paulo-diaz/profil/spieler/271478,27581,25,0.08,10674,7,0.06,675,0,0.0
660735,Federico Gattoni,DEF,River Plate,https://www.transfermarkt.es/federico-gattoni/profil/spieler/660735,9356,9,0.09,6710,7,0.09,90,0,0.0
113133,Germán Pezzella,DEF,River Plate,https://www.transfermarkt.es/german-pezzella/profil/spieler/113133,34873,19,0.05,8724,2,0.02,585,0,0.0
113130,Leandro González Pírez,DEF,River Plate,https://www.transfermarkt.es/leandro-gonzalez-pirez/profil/spieler/113130,33160,18,0.05,8086,6,0.07,90,1,1.0
60410,Marcos Acuña,DEF,River Plate,https://www.transfermarkt.es/marcos-acuna/profil/spieler/60410,39961,39,0.09,6461,4,0.06,682,0,0.0
115183,Milton Casco,DEF,River Plate,https://www.transfermarkt.es/milton-casco/profil/spieler/115183,38700,13,0.03,8707,1,0.01,334,0,0.0
275381,Fabricio Bustos,DEF,River Plate,https://www.transfermarkt.es/fabricio-bustos/profil/spieler/275381,27855,11,0.04,12808,6,0.04,248,0,0.0
402733,Gonzalo Montiel,DEF,River Plate,https://www.transfermarkt.es/gonzalo-montiel/profil/spieler/402733,18572,11,0.05,4760,3,0.06,1105,2,0.16
857948,Kevin Castaño,VOL,River Plate,https://www.transfermarkt.es/kevin-castano/profil/spieler/857948,7760,3,0.03,6387,3,0.04,985,1,0.09
240900,Matías Kranevitter,VOL,River Plate,https://www.transfermarkt.es/matias-kranevitter/profil/spieler/240900,20371,1,0.0,3358,0,0.0,216,0,0.0
56066,Enzo Pérez,VOL,River Plate,https://www.transfermarkt.es/enzo-perez/profil/spieler/56066,52970,39,0.07,10816,0,0.0,620,0,0.0
567249,Giuliano Galoppo,VOL,River Plate,https://www.transfermarkt.es/giuliano-galoppo/profil/spieler/567249,9734,31,0.29,5309,18,0.31,410,0,0.0
424045,Rodrigo Aliendro,VOL,River Plate,https://www.transfermarkt.es/rodrigo-aliendro/profil/spieler/424045,23727,25,0.09,8154,4,0.04,382,0,0.0
661131,Santiago Simón,VOL,River Plate,https://www.transfermarkt.es/santiago-simon/profil/spieler/661131,8134,6,0.07,6562,4,0.05,428,0,0.0
1057316,Franco Mastantuono,VOL,River Plate,https://www.transfermarkt.es/franco-mastantuono/profil/spieler/1057316,1937,6,0.28,1937,6,0.28,344,2,0.52
294853,Sebastián Driussi,DEL,River Plate,https://www.transfermarkt.es/sebastian-driussi/profil/spieler/294853,25576,104,0.37,8680,46,0.48,374,0,0.0
417327,Matías Rojas,VOL,River Plate,https://www.transfermarkt.es/matias-rojas/profil/spieler/417327,13271,47,0.32,6021,26,0.39,63,1,1.43
281405,Gonzalo Martínez,VOL,River Plate,https://www.transfermarkt.es/gonzalo-martinez/profil/spieler/281405,22213,63,0.26,1139,2,0.16,279,0,0.0
135853,Manuel Lanzini,VOL,River Plate,https://www.transfermarkt.es/manuel-lanzini/profil/spieler/135853,27476,58,0.19,3608,4,0.1,346,0,0.0
50669,Nacho Fernández,VOL,River Plate,https://www.transfermarkt.es/nacho-fernandez/profil/spieler/50669,33737,74,0.2,9812,17,0.16,97,0,0.0
1274611,Giorgio Costantini,VOL,River Plate,https://www.transfermarkt.es/giorgio-costantini/profil/spieler/1274611,484,1,0.19,484,1,0.19,188,1,0.48
1289929,Santiago Lencina,VOL,River Plate,https://www.transfermarkt.es/santiago-lencina/profil/spieler/1289929,2815,7,0.22,2815,7,0.22,299,3,0.9
282476,Maximiliano Meza,VOL,River Plate,https://www.transfermarkt.es/maximiliano-meza/profil/spieler/282476,31033,66,0.19,8488,19,0.2,711,0,0.0
